publications2	entries	PMID
Fleischman 2013 Blood 122:4837 https://protect-au.mimecast.com/s/EaaSC2xMxLhpLoOwh9oxHM?domain=bloodjournal.org (not in PubMed)	104805	None
Friesema et al. 2003	887;22078	12871948
"Funayama, M., Ohe, K., Amo, T., Furuya, N., Yamaguchi, J., Saiki, S., Li, Y., Ogaki, K., Ando, M., Yoshino, H., Tomiyama, H., Nishioka, K., and 12 others. CHCHD2 mutations in autosomal dominant late-onset Parkinson's disease: a genome-wide linkage and sequencing study. Lancet Neurol. 14: 274-282, 2015"	198;44874	25662902
Gallus et al 2010 Eur J Neurol 17:1259-1262	2852	20402754
Garuti et al 1997 J Lipid Res 38:2322-2334	2852	9392430
Gene reviews: https://www.ncbi.nlm.nih.gov/books/NBK1449/	14587	20301622
GeneReviews: Dystrophinopathies	14655;54468;56207	20301298
Gestri et al 2009 Hum Genet 126:791-803. Milunsky et al. 2008 Am J Hum Genet. 2 825:1171_1177. Reiber et al 2010 Am J Med Genet 152A:994-999.	2934	19685247;18423521;20358615
Gillespie et al 2014 Ophthalmology 12111:2124-37	2926	25148791
Gillespie et al 2015 Invest. Ophthal. Vis. Sci. 56: 883-891	2877	25574057
Gillespie et al 2016 Ophthalmol 123:217-220	2929	26233629
Gillespie et al 2016 Ophthalmology 123:217-220	2906	26233629
Godfrey et al 2007 Brain 130:2725-35	3011	17878207
Goethem et al 2003 Eur J Hum Genet 11: 547-549	15550;39425;56980	12825077
Goethen et al 2004 Neurology 63: 1251-1257	15550;39425;56980	15477547
Gotoda et al 1998 Am J Hum Genet 63:1015-1024	2889	9758606
Grau et al 2013 J Med Genet 50:848-858	2901	24136862
Guo et al 2014 Clin Genet 86:575-579 24172257	2902	24172257
Hamden et al 2009 N Engl J Med 360: 599-605	15657;40499;57239	19196676
Handley et al 2013 Hum Mutat 34:686-96	2923;2924;2925	23420520
Hanein et al. 2007	22129	17605047
Hanein et al. 2008	954;22092	18394578
Heinzen et al 2012 Nature Genet 449: 1030-1035	15181;35667;55972	22842232
Heron et al 2012 Am J Hum Genet 90: 152_160	15561;39554;57013	22243967
Heron et al 2012 Nature Genet 4411: 1188-1190	15418;38003;56554	23086396
Hodgkinson et al. 2002	22136	12499481
Hughes et al 2013 IOVS 54:5266	2892;10608	None
Huppke et al 2012 Am. J. Hum. Genet. 90: 61-68	2930	22243965
Hynes et al 2010 J Med Genet 47: 211-216	15512;39094;56877	19752159
ISBN:9780199557509	1417	None
Identified nonsense mutation Arg847Ter in RP patient	52315	22581970
Intellectual developmental disorder with cardiac defects and dysmorphic facies	66630	None
Itzkovitz et al 2011 Hum Mutat 33:189-197	2827	21990100
J Clin Invest. 2015	48534;58284	25961457
Jedele 2007 Seminars in Pediatric Neurology 143108-117	15447;15700;38374;41012;56637;57355	17980307
"Journal Sleep Research 2012,  21(Suppl 1, P891"	30530;44952	None
Kahrizi et al 2011 Europ. J. Hum. Genet. 19: 115-117	2931	20700148
