publications2	entries	PMID
https://doi.org/10.1101/797787	6197;15435;23836;28193;38206;38207;56597;71474;78213;85818;99313	33057194
https://doi.org/10.1126/scisignal.aax0926	15669;40657;57266	None
https://doi.org/10.1155/2024/8807171	78531;80701;80966;86548;99948;102497	None
https://doi.org/10.1164/ajrccm-conference.2020.201.1_MeetingAbstracts.A6356	21363;74318;106069;106166	None
https://doi.org/10.14785/lpsn-2014-0012	10726;45918	None
https://doi.org/10.3390/genes12121918	3025	34946867
https://doi.org/10.4137/jge.s12583	6390;24005;28280;38575	None
https://imgc2019.sciencesconf.org/data/abstract_book_complete.pdf	6282;23920;28247;38416;52831	None
https://n.neurology.org/content/86/16_Supplement/P5.391	44929	None
https://n.neurology.org/content/92/15_Supplement/P3.4-037	21612	None
https://search.clinicalgenome.org/CCID:004057	83845	23818446;24874986;23356391
https://search.clinicalgenome.org/CCID:004084	103197;103744;103861	10615133;25596619;15347646;26650897;15582159
https://search.clinicalgenome.org/CCID:004643	77780	29433144;32055014;27401223;28805615
https://search.clinicalgenome.org/CCID:004651	77792	10583221;18195234;12400016;18626023
https://search.clinicalgenome.org/CCID:004669	65206;84768	31178125;25613900;33423959;35932098
https://search.clinicalgenome.org/CCID:004751	77853	19353645;27648933;15706485;9590171;19822209
https://search.clinicalgenome.org/CCID:004863	77917	9883725;23032111;16684786;18427995;16825286
https://search.clinicalgenome.org/CCID:004870	77921	1675488;8490650;8069307;7670500;21267007;24448548;25693964;28176767
https://search.clinicalgenome.org/CCID:004892	77937	15162322;15342698;18081026;25644381;26310293;28330790;30415557;30557699;31170314;31981491;33771871;36720500
https://search.clinicalgenome.org/CCID:004990	78003	8589713;23606591;29637653
https://search.clinicalgenome.org/CCID:005073	78067	26173930;26638989;26954065;28374925;28771707;29904177
https://search.clinicalgenome.org/CCID:005077	78070	12833395;12833395;16155570;18412118
https://search.clinicalgenome.org/CCID:005082	78073	2928313;8664901;2323782;10767182;23975452;28495876;24206569;3029599
https://search.clinicalgenome.org/CCID:005112	78085	1639384;8940265;9501270;9950361;12794697;16505002;27246110;28207863
https://search.clinicalgenome.org/CCID:005121	76767;88070;95553	815819;4117311;4132042;26853951;32278584
https://search.clinicalgenome.org/CCID:005173	78123	19922872;22921202;25728775;27133397;29899504;32041641
https://search.clinicalgenome.org/CCID:005174	78124	10821753;17079664;18794358;22077973;22265014;22265017;25424711;30790630;32424177;34519438
https://search.clinicalgenome.org/CCID:006342	67396	8894686;20003452;20106873;22317976;25790162;29230583;30390570;31307516
https://search.clinicalgenome.org/CCID:006588	89310	16385466;19344873;20691945;22126752;23871722;26544196;28263302
https://search.clinicalgenome.org/CCID:008794	90685;91784	23473037
https://search.clinicalgenome.org/kb/gene-validity/10165	3191;3335;54524;57097	12051963;9521325;10727653;10590249;20129283;14961552;27810048;10690282
https://www.biorxiv.org/content/10.1101/2020.04.07.030767v1	11342	33532126
https://www.medrxiv.org/content/10.1101/2022.04.26.22274147v1	85632	36307226
https://www.medrxiv.org/content/10.1101/2024.05.10.24306768v1	21663	None
https://www.medrxiv.org/content/10.1101/2024.06.19.24308302v1	61629;68527;69879;78572;86650;92685;93778;100028;102503;105835	39148840
https://www.medrxiv.org/content/10.1101/2024.10.04.24314692v1.full.pdf	78651;86816	40442284
https://www.medrxiv.org/content/10.1101/2024.10.07.24314689v1	78651;86816	40379786
https://www.medrxiv.org/search/DDX17	77768;84702	None
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3870197/	14464	24123981
https://www.neurology.org/doi/full/10.1212/NXG.0000000000200088	79689;89197;92093;92454;94448;104857	38235364
https://www.neurology.org/doi/full/10.1212/NXG.0000000000200101 (No )	61978;62296;71714;80721;80996;87019;93880;100285;100286;100287	38235040
https://www.nmd-journal.com/article/S0960-89662030203-0/fulltext	10482;23642;34833	None
iliff et al 2012 IOVS 53:348-353	2892	22131394
medRxiv 2020.04.01.20047381	46361	32425269
"model of function postulated by Honsho et al. (J. Biol. Chem. 285: 8537-8542, 2010 for the protein"	45050	20071337
mother and sibling's samples not available for testing. Three functional assays confirm that this mutation has a major biological effect underlying the phenotype observed in the patient. 1908107 - publication describing function of the protein.	52398	24026985;1908107
none	6363;11226;23987;31048;38551;46327;56687	None
none submitted	3135;3138;3139	None
p.H89fsX20 was reported in a proband with  early childhood-onset leg dystonia (though testing in the parents was not mentioned).	44858	18420150
van Rahden et al 2014 Orphanet J Rare Dis 9:53	2986	24735900
van Reeuwijk et al 2007 Hum Genet 121:685-690	2990	17436019
van Reeuwijk et al 2010 Clin genet 78:275-281	2976	20236121
​14559215	67087;67260;84718	14559215
​17568404	67273;84973	17568404
​25719458	67137;67346;86308	25719458
﻿﻿12161522	33807	12161522
