MeSH	disease
Situs Inversus	FET
Dextrocardia	FET
Kartagener Syndrome	FET
Levocardia	FET
Skin Abnormalities	FET
Acrodermatitis	FET
Carney Complex	FET
Dyskeratosis Congenita	FET
Ectodermal Dysplasia	FET
"Ectodermal Dysplasia 1, Anhidrotic"	FET
"Ectodermal Dysplasia 3, Anhidrotic"	FET
"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive"	FET
Ellis-Van Creveld Syndrome	FET
Focal Dermal Hypoplasia	FET
Focal Facial Dermal Dysplasias	FET
Neurocutaneous Syndromes	FET
Pachyonychia Congenita	FET
Steatocystoma Multiplex	FET
Ehlers-Danlos Syndrome	FET
"Ehlers-Danlos Syndrome, Type IV"	FET
Epidermolysis Bullosa	FET
Epidermolysis Bullosa Acquisita	FET
Epidermolysis Bullosa Dystrophica	FET
"Epidermolysis Bullosa, Junctional"	FET
Epidermolysis Bullosa Simplex	FET
Ichthyosis	FET
"Ichthyosiform Erythroderma, Congenital"	FET
"Hyperkeratosis, Epidermolytic"	FET
"Ichthyosis, Lamellar"	FET
Netherton Syndrome	FET
Ichthyosis Bullosa of Siemens	FET
Ichthyosis Vulgaris	FET
"Ichthyosis, X-Linked"	FET
Sjogren-Larsson Syndrome	FET
Incontinentia Pigmenti	FET
Port-Wine Stain	FET
Prolidase Deficiency	FET
Pseudoxanthoma Elasticum	FET
Rothmund-Thomson Syndrome	FET
Sclerema Neonatorum	FET
Trichothiodystrophy Syndromes	FET
Xeroderma Pigmentosum	FET
Stomatognathic System Abnormalities	FET
Maxillofacial Abnormalities	FET
Dentofacial Deformities	FET
Jaw Abnormalities	FET
Cleft Palate	FET
Micrognathism	FET
Pierre Robin Syndrome	FET
Prognathism	FET
Retrognathia	FET
Mouth Abnormalities	FET
Cleft Lip	FET
Cleft Palate	FET
"Fibromatosis, Gingival"	FET
Macrostomia	FET
Microstomia	FET
Velopharyngeal Insufficiency	FET
Tooth Abnormalities	FET
Anodontia	FET
Dens in Dente	FET
Dentin Dysplasia	FET
Dentinogenesis Imperfecta	FET
Developmental Defects of Enamel	FET
Amelogenesis Imperfecta	FET
Dental Enamel Hypomineralization	FET
"Fluorosis, Dental"	FET
Molar Hypomineralization	FET
Dental Enamel Hypoplasia	FET
Diastema	FET
Fused Teeth	FET
Odontodysplasia	FET
"Tooth, Supernumerary"	FET
Thyroid Dysgenesis	FET
Lingual Thyroid	FET
Lingual Goiter	FET
Urogenital Abnormalities	FET
Bladder Exstrophy	FET
Cloacal Exstrophy	FET
Cryptorchidism	FET
Disorders of Sex Development	FET
"46, XX Disorders of Sex Development"	FET
"46, XX Testicular Disorders of Sex Development"	FET
"Gonadal Dysgenesis, 46,XX"	FET
Hyperandrogenism	FET
"Disorder of Sex Development, 46,XY"	FET
Androgen-Insensitivity Syndrome	FET
Denys-Drash Syndrome	FET
Frasier Syndrome	FET
"Gonadal Dysgenesis, 46,XY"	FET
Gonadoblastoma	FET
Kallmann Syndrome	FET
WAGR Syndrome	FET
Adrenogenital Syndrome	FET
"Adrenal Hyperplasia, Congenital"	FET
Hyperandrogenism	FET
Gonadal Dysgenesis	FET
"Gonadal Dysgenesis, 46,XX"	FET
"Gonadal Dysgenesis, 46,XY"	FET
Gonadoblastoma	FET
"Gonadal Dysgenesis, Mixed"	FET
Sexual Infantilism	FET
Turner Syndrome	FET
Ovotesticular Disorders of Sex Development	FET
Sex Chromosome Disorders of Sex Development	FET
Freemartinism	FET
"Gonadal Dysgenesis, Mixed"	FET
Klinefelter Syndrome	FET
Turner Syndrome	FET
Epispadias	FET
Fraser Syndrome	FET
Fused Kidney	FET
Hypospadias	FET
Multicystic Dysplastic Kidney	FET
"Nephritis, Hereditary"	FET
Pyelectasis	FET
Retrocaval Ureter	FET
Uterine Duplication Anomalies	FET
Epilepsy	FET
Drug Resistant Epilepsy	FET
"Epilepsies, Partial"	FET
"Epilepsy, Complex Partial"	FET
"Epilepsy, Frontal Lobe"	FET
"Epilepsy, Partial, Motor"	FET
"Epilepsy, Partial, Sensory"	FET
"Epilepsy, Rolandic"	FET
"Epilepsy, Temporal Lobe"	FET
"Epilepsy, Benign Neonatal"	FET
"Epilepsy, Generalized"	FET
"Epilepsies, Myoclonic"	FET
"Myoclonic Epilepsies, Progressive"	FET
Lafora Disease	FET
MERRF Syndrome	FET
Unverricht-Lundborg Syndrome	FET
"Myoclonic Epilepsy, Juvenile"	FET
"Epilepsy, Absence"	FET
"Epilepsy, Tonic-Clonic"	FET
Nodding Syndrome	FET
"Spasms, Infantile"	FET
"Epilepsy, Post-Traumatic"	FET
"Epilepsy, Reflex"	FET
Epileptic Syndromes	FET
"Epilepsies, Myoclonic"	FET
"Myoclonic Epilepsies, Progressive"	FET
Lafora Disease	FET
MERRF Syndrome	FET
Unverricht-Lundborg Syndrome	FET
"Myoclonic Epilepsy, Juvenile"	FET
"Epilepsy, Absence"	FET
"Epilepsy, Frontal Lobe"	FET
"Epilepsy, Rolandic"	FET
"Epilepsy, Temporal Lobe"	FET
Landau-Kleffner Syndrome	FET
Lennox Gastaut Syndrome	FET
"Spasms, Infantile"	FET
Sudden Unexpected Death in Epilepsy	FET
Fetal Death  	FET
Fetal Resorption  	FET
Stillbirth  	FET
Fetal Diseases	FET
Chorioamnionitis	FET
Echogenic Bowel	FET
"Erythroblastosis, Fetal"	FET
Hydrops Fetalis	FET
Fetal Alcohol Spectrum Disorders	FET
Fetal Growth Retardation	FET
Fetal Hypoxia	FET
Fetal Macrosomia	FET
"Genetic Diseases, Inborn"	FET
"Adrenal Hyperplasia, Congenital"	FET
Alagille Syndrome	FET
alpha 1-Antitrypsin Deficiency	FET
"Anemia, Hemolytic, Congenital"	FET
"Anemia, Dyserythropoietic, Congenital"	FET
"Anemia, Hemolytic, Congenital Nonspherocytic"	FET
"Anemia, Sickle Cell"	FET
Acute Chest Syndrome	FET
Hemoglobin SC Disease	FET
Sickle Cell Trait	FET
Vaso-Occlusive Crises	FET
"Elliptocytosis, Hereditary"	FET
Glucosephosphate Dehydrogenase Deficiency	FET
Favism	FET
Hemoglobin C Disease	FET
"Spherocytosis, Hereditary"	FET
Thalassemia	FET
alpha-Thalassemia	FET
beta-Thalassemia	FET
delta-Thalassemia	FET
"Anemia, Hypoplastic, Congenital"	FET
"Anemia, Diamond-Blackfan"	FET
Fanconi Anemia	FET
Ataxia Telangiectasia	FET
Autoimmune Lymphoproliferative Syndrome	FET
"Blood Coagulation Disorders, Inherited"	FET
Activated Protein C Resistance	FET
Afibrinogenemia	FET
Antithrombin III Deficiency	FET
Bernard-Soulier Syndrome	FET
Factor V Deficiency	FET
Factor VII Deficiency	FET
Factor X Deficiency	FET
Factor XI Deficiency	FET
Factor XII Deficiency	FET
Factor XIII Deficiency	FET
Gray Platelet Syndrome	FET
Hemophilia A	FET
Hemophilia B	FET
Hermanski-Pudlak Syndrome	FET
Hypoprothrombinemias	FET
Protein C Deficiency	FET
Thrombasthenia	FET
von Willebrand Diseases	FET
"von Willebrand Disease, Type 1"	FET
"von Willebrand Disease, Type 2"	FET
"von Willebrand Disease, Type 3"	FET
Wiskott-Aldrich Syndrome	FET
Brugada Syndrome	FET
CADASIL	FET
Camurati-Engelmann Syndrome	FET
"Cardiomyopathy, Hypertrophic, Familial"	FET
CHARGE Syndrome	FET
Cherubism	FET
Chromosome Disorders	FET
22q11 Deletion Syndrome	FET
DiGeorge Syndrome	FET
Angelman Syndrome	FET
Beckwith-Wiedemann Syndrome	FET
Branchio-Oto-Renal Syndrome	FET
Cri-du-Chat Syndrome	FET
De Lange Syndrome	FET
Down Syndrome	FET
Holoprosencephaly	FET
Jacobsen Distal 11q Deletion Syndrome	FET
Prader-Willi Syndrome	FET
Rubinstein-Taybi Syndrome	FET
Sex Chromosome Disorders	FET
Fragile X Syndrome	FET
Orofaciodigital Syndromes	FET
Sex Chromosome Disorders of Sex Development	FET
"Gonadal Dysgenesis, Mixed"	FET
Klinefelter Syndrome	FET
Turner Syndrome	FET
Silver-Russell Syndrome	FET
Smith-Magenis Syndrome	FET
Sotos Syndrome	FET
Trisomy 13 Syndrome	FET
Trisomy 18 Syndrome	FET
WAGR Syndrome	FET
Williams Syndrome	FET
Wolf-Hirschhorn Syndrome	FET
Ciliopathies	FET
Alstrom Syndrome	FET
Bardet-Biedl Syndrome	FET
Caroli Disease	FET
Ciliary Motility Disorders	FET
Kartagener Syndrome	FET
Polycystic Kidney Diseases	FET
"Polycystic Kidney, Autosomal Dominant"	FET
"Polycystic Kidney, Autosomal Recessive"	FET
von Hippel-Lindau Disease	FET
Costello Syndrome	FET
Cystic Fibrosis	FET
Donohue Syndrome	FET
Dwarfism	FET
Achondroplasia	FET
Thanatophoric Dysplasia	FET
Cockayne Syndrome	FET
Congenital Hypothyroidism	FET
Laron Syndrome	FET
Mulibrey Nanism	FET
Silver-Russell Syndrome	FET
"Eye Diseases, Hereditary"	FET
Aicardi Syndrome	FET
Albinism	FET
"Albinism, Ocular"	FET
"Albinism, Oculocutaneous"	FET
Hermanski-Pudlak Syndrome	FET
Piebaldism	FET
Aniridia	FET
WAGR Syndrome	FET
Choroideremia	FET
Cone-Rod Dystrophies	FET
"Corneal Dystrophies, Hereditary"	FET
"Corneal Dystrophy, Juvenile Epithelial of Meesmann"	FET
Fuchs' Endothelial Dystrophy	FET
Duane Retraction Syndrome	FET
Familial Exudative Vitreoretinopathies	FET
Graves Ophthalmopathy	FET
Gyrate Atrophy	FET
"Optic Atrophies, Hereditary"	FET
"Optic Atrophy, Autosomal Dominant"	FET
"Optic Atrophy, Hereditary, Leber"	FET
Wolfram Syndrome	FET
Optic Nerve Hypoplasia	FET
Retinal Dysplasia	FET
Retinitis Pigmentosa	FET
Alstrom Syndrome	FET
Usher Syndromes	FET
Stargardt Disease	FET
Vitelliform Macular Dystrophy	FET
Weill-Marchesani Syndrome	FET
Familial Multiple Lipomatosis	FET
Frasier Syndrome	FET
GATA2 Deficiency	FET
"Genetic Diseases, X-Linked"	FET
Aicardi Syndrome	FET
Androgen-Insensitivity Syndrome	FET
Barth Syndrome	FET
"Bulbo-Spinal Atrophy, X-Linked"	FET
Choroideremia	FET
Dent Disease	FET
Dyskeratosis Congenita	FET
"Ectodermal Dysplasia 1, Anhidrotic"	FET
Fabry Disease	FET
Focal Dermal Hypoplasia	FET
Glycogen Storage Disease Type IIb	FET
Glycogen Storage Disease Type VIII	FET
"Granulomatous Disease, Chronic"	FET
Hemophilia B	FET
"Hyper-IgM Immunodeficiency Syndrome, Type 1"	FET
"Ichthyosis, X-Linked"	FET
Isolated Noncompaction of the Ventricular Myocardium	FET
X-Linked Intellectual Disability	FET
Adrenoleukodystrophy	FET
Classical Lissencephalies and Subcortical Band Heterotopias	FET
Coffin-Lowry Syndrome	FET
Fragile X Syndrome	FET
Lesch-Nyhan Syndrome	FET
Menkes Kinky Hair Syndrome	FET
Mucopolysaccharidosis II	FET
Pyruvate Dehydrogenase Complex Deficiency Disease	FET
Rett Syndrome	FET
"Muscular Dystrophy, Duchenne"	FET
"Muscular Dystrophy, Emery-Dreifuss"	FET
X-Linked Emery-Dreifuss Muscular Dystrophy	FET
Oculocerebrorenal Syndrome	FET
Ornithine Carbamoyltransferase Deficiency Disease	FET
Pelizaeus-Merzbacher Disease	FET
Wiskott-Aldrich Syndrome	FET
X-Linked Combined Immunodeficiency Diseases	FET
"Genetic Diseases, Y-Linked"	FET
Hajdu-Cheney Syndrome	FET
Hemoglobinopathies	FET
"Anemia, Sickle Cell"	FET
Acute Chest Syndrome	FET
Hemoglobin SC Disease	FET
Sickle Cell Trait	FET
Vaso-Occlusive Crises	FET
Hemoglobin C Disease	FET
Thalassemia	FET
alpha-Thalassemia	FET
Hydrops Fetalis	FET
beta-Thalassemia	FET
delta-Thalassemia	FET
Hereditary Autoinflammatory Diseases	FET
Behcet Syndrome	FET
Cryopyrin-Associated Periodic Syndromes	FET
Familial Mediterranean Fever	FET
Mevalonate Kinase Deficiency	FET
"Heredodegenerative Disorders, Nervous System"	FET
Alexander Disease	FET
"Amyloid Neuropathies, Familial"	FET
"Bulbo-Spinal Atrophy, X-Linked"	FET
Canavan Disease	FET
Cockayne Syndrome	FET
Dystonia Musculorum Deformans	FET
Gerstmann-Straussler-Scheinker Disease	FET
Hepatolenticular Degeneration	FET
Hereditary Central Nervous System Demyelinating Diseases	FET
Hereditary Sensory and Motor Neuropathy	FET
Alstrom Syndrome	FET
Charcot-Marie-Tooth Disease	FET
Giant Axonal Neuropathy	FET
Refsum Disease	FET
"Spastic Paraplegia, Hereditary"	FET
Hereditary Sensory and Autonomic Neuropathies	FET
"Dysautonomia, Familial"	FET
Huntington Disease	FET
Lafora Disease	FET
X-Linked Intellectual Disability	FET
Adrenoleukodystrophy	FET
Coffin-Lowry Syndrome	FET
Fragile X Syndrome	FET
Lesch-Nyhan Syndrome	FET
Menkes Kinky Hair Syndrome	FET
Mucopolysaccharidosis II	FET
Pyruvate Dehydrogenase Complex Deficiency Disease	FET
Rett Syndrome	FET
Myotonia Congenita	FET
Myotonic Dystrophy	FET
Neuroacanthocytosis	FET
Neurofibromatoses	FET
Neurofibromatosis 1	FET
Neurofibromatosis 2	FET
Neuronal Ceroid-Lipofuscinoses	FET
"Optic Atrophies, Hereditary"	FET
"Optic Atrophy, Autosomal Dominant"	FET
"Optic Atrophy, Hereditary, Leber"	FET
Wolfram Syndrome	FET
Pantothenate Kinase-Associated Neurodegeneration	FET
Spinal Muscular Atrophies of Childhood	FET
Spinocerebellar Degenerations	FET
Friedreich Ataxia	FET
Myoclonic Cerebellar Dyssynergia	FET
Olivopontocerebellar Atrophies	FET
Spinocerebellar Ataxias	FET
Machado-Joseph Disease	FET
Tourette Syndrome	FET
Tuberous Sclerosis	FET
Unverricht-Lundborg Syndrome	FET
Hyper-IgM Immunodeficiency Syndrome	FET
"Hyperthyroxinemia, Familial Dysalbuminemic"	FET
Imprinting Disorders	FET
Angelman Syndrome	FET
Beckwith-Wiedemann Syndrome	FET
Prader-Willi Syndrome	FET
Silver-Russell Syndrome	FET
Kallmann Syndrome	FET
Kartagener Syndrome	FET
Laminopathies	FET
Autosomal Emery-Dreifuss Muscular Dystrophy	FET
"Cardiomyopathy, Dilated"	FET
"Lipodystrophy, Familial Partial"	FET
Progeria	FET
Lennox Gastaut Syndrome	FET
Loeys-Dietz Syndrome	FET
Marfan Syndrome	FET
"Metabolism, Inborn Errors"	FET
"Amino Acid Metabolism, Inborn Errors"	FET
Albinism	FET
"Albinism, Ocular"	FET
"Albinism, Oculocutaneous"	FET
Hermanski-Pudlak Syndrome	FET
Piebaldism	FET
Alkaptonuria	FET
"Hyperglycinemia, Nonketotic"	FET
Hyperhomocysteinemia	FET
Homocystinuria	FET
Hyperlysinemias	FET
Maple Syrup Urine Disease	FET
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	FET
Multiple Carboxylase Deficiency	FET
Biotinidase Deficiency	FET
Holocarboxylase Synthetase Deficiency	FET
Phenylketonurias	FET
"Phenylketonuria, Maternal"	FET
Prolidase Deficiency	FET
Propionic Acidemia	FET
Tyrosinemias	FET
"Urea Cycle Disorders, Inborn"	FET
Argininosuccinic Aciduria	FET
Carbamoyl-Phosphate Synthase I Deficiency Disease	FET
Citrullinemia	FET
Hyperargininemia	FET
Ornithine Carbamoyltransferase Deficiency Disease	FET
"Amino Acid Transport Disorders, Inborn"	FET
Hartnup Disease	FET
Oculocerebrorenal Syndrome	FET
"Amyloidosis, Familial"	FET
"Amyloid Neuropathies, Familial"	FET
"Cerebral Amyloid Angiopathy, Familial"	FET
"Brain Diseases, Metabolic, Inborn"	FET
Adrenoleukodystrophy	FET
"Cerebral Amyloid Angiopathy, Familial"	FET
Galactosemias	FET
Hartnup Disease	FET
Hepatolenticular Degeneration	FET
Hereditary Central Nervous System Demyelinating Diseases	FET
Adrenoleukodystrophy	FET
Alexander Disease	FET
Canavan Disease	FET
"Leukodystrophy, Globoid Cell"	FET
"Leukodystrophy, Metachromatic"	FET
Pelizaeus-Merzbacher Disease	FET
Homocystinuria	FET
"Hyperglycinemia, Nonketotic"	FET
Hyperlysinemias	FET
Leigh Disease	FET
Lesch-Nyhan Syndrome	FET
"Lysosomal Storage Diseases, Nervous System"	FET
Fucosidosis	FET
Glycogen Storage Disease Type II	FET
Mucolipidoses	FET
Sialic Acid Storage Disease	FET
Sphingolipidoses	FET
Fabry Disease	FET
Farber Lipogranulomatosis	FET
Gangliosidoses	FET
"Gangliosidoses, GM2"	FET
Sandhoff Disease	FET
Tay-Sachs Disease	FET
"Tay-Sachs Disease, AB Variant"	FET
"Gangliosidosis, GM1"	FET
Gaucher Disease	FET
"Leukodystrophy, Globoid Cell"	FET
Niemann-Pick Diseases	FET
"Niemann-Pick Disease, Type A"	FET
"Niemann-Pick Disease, Type B"	FET
"Niemann-Pick Disease, Type C"	FET
Sea-Blue Histiocyte Syndrome	FET
Sulfatidosis	FET
"Leukodystrophy, Metachromatic"	FET
Multiple Sulfatase Deficiency Disease	FET
Maple Syrup Urine Disease	FET
MELAS Syndrome	FET
Menkes Kinky Hair Syndrome	FET
MERRF Syndrome	FET
Mevalonate Kinase Deficiency	FET
Oculocerebrorenal Syndrome	FET
Phenylketonurias	FET
"Phenylketonuria, Maternal"	FET
Pyruvate Carboxylase Deficiency Disease	FET
Pyruvate Dehydrogenase Complex Deficiency Disease	FET
Refsum Disease	FET
"Refsum Disease, Infantile"	FET
Tyrosinemias	FET
"Urea Cycle Disorders, Inborn"	FET
Argininosuccinic Aciduria	FET
Carbamoyl-Phosphate Synthase I Deficiency Disease	FET
Citrullinemia	FET
Hyperargininemia	FET
Ornithine Carbamoyltransferase Deficiency Disease	FET
Zellweger Syndrome	FET
"Carbohydrate Metabolism, Inborn Errors"	FET
Congenital Disorders of Glycosylation	FET
"Fructose Metabolism, Inborn Errors"	FET
"Fructose-1,6-Diphosphatase Deficiency"	FET
Fructose Intolerance	FET
Fucosidosis	FET
Galactosemias	FET
Glucosephosphate Dehydrogenase Deficiency	FET
Glycogen Storage Disease	FET
Glycogen Storage Disease Type I	FET
Glycogen Storage Disease Type II	FET
Glycogen Storage Disease Type IIb	FET
Glycogen Storage Disease Type III	FET
Glycogen Storage Disease Type IV	FET
Glycogen Storage Disease Type V	FET
Glycogen Storage Disease Type VI	FET
Glycogen Storage Disease Type VII	FET
Glycogen Storage Disease Type VIII	FET
"Hyperoxaluria, Primary"	FET
Lactose Intolerance	FET
Mannosidase Deficiency Diseases	FET
alpha-Mannosidosis	FET
beta-Mannosidosis	FET
Mucolipidoses	FET
Mucopolysaccharidoses	FET
Mucopolysaccharidosis I	FET
Mucopolysaccharidosis II	FET
Mucopolysaccharidosis III	FET
Mucopolysaccharidosis IV	FET
Mucopolysaccharidosis VI	FET
Mucopolysaccharidosis VII	FET
Multiple Carboxylase Deficiency	FET
Biotinidase Deficiency	FET
Holocarboxylase Synthetase Deficiency	FET
"Pyruvate Metabolism, Inborn Errors"	FET
Leigh Disease	FET
Pyruvate Carboxylase Deficiency Disease	FET
Pyruvate Dehydrogenase Complex Deficiency Disease	FET
Cytochrome-c Oxidase Deficiency	FET
"Hyperbilirubinemia, Hereditary"	FET
Crigler-Najjar Syndrome	FET
Gilbert Disease	FET
"Jaundice, Chronic Idiopathic"	FET
"Lipid Metabolism, Inborn Errors"	FET
Barth Syndrome	FET
"Hyperlipidemia, Familial Combined"	FET
Hyperlipoproteinemia Type I	FET
Hyperlipoproteinemia Type II	FET
Homozygous Familial Hypercholesterolemia	FET
Hyperlipoproteinemia Type III	FET
Hyperlipoproteinemia Type IV	FET
Hyperlipoproteinemia Type V	FET
Hypolipoproteinemias	FET
Hypoalphalipoproteinemias	FET
Lecithin Cholesterol Acyltransferase Deficiency	FET
Tangier Disease	FET
Hypobetalipoproteinemias	FET
Abetalipoproteinemia	FET
Lipidoses	FET
Cholesterol Ester Storage Disease	FET
Wolman Disease	FET
Neuronal Ceroid-Lipofuscinoses	FET
Sjogren-Larsson Syndrome	FET
Sphingolipidoses	FET
Fabry Disease	FET
Farber Lipogranulomatosis	FET
Gangliosidoses	FET
"Gangliosidoses, GM2"	FET
Sandhoff Disease	FET
Tay-Sachs Disease	FET
"Tay-Sachs Disease, AB Variant"	FET
"Gangliosidosis, GM1"	FET
Gaucher Disease	FET
"Leukodystrophy, Globoid Cell"	FET
Niemann-Pick Diseases	FET
"Niemann-Pick Disease, Type A"	FET
"Niemann-Pick Disease, Type B"	FET
"Niemann-Pick Disease, Type C"	FET
Sea-Blue Histiocyte Syndrome	FET
Sulfatidosis	FET
"Leukodystrophy, Metachromatic"	FET
Multiple Sulfatase Deficiency Disease	FET
"Lipodystrophy, Congenital Generalized"	FET
Smith-Lemli-Opitz Syndrome	FET
"Xanthomatosis, Cerebrotendinous"	FET
Lysosomal Storage Diseases	FET
Aspartylglucosaminuria	FET
Cholesterol Ester Storage Disease	FET
Wolman Disease	FET
Cystinosis	FET
"Lysosomal Storage Diseases, Nervous System"	FET
Fucosidosis	FET
Glycogen Storage Disease Type II	FET
Mucolipidoses	FET
Sialic Acid Storage Disease	FET
Sphingolipidoses	FET
Fabry Disease	FET
Farber Lipogranulomatosis	FET
Gangliosidoses	FET
"Gangliosidoses, GM2"	FET
Sandhoff Disease	FET
Tay-Sachs Disease	FET
"Tay-Sachs Disease, AB Variant"	FET
"Gangliosidosis, GM1"	FET
Gaucher Disease	FET
"Leukodystrophy, Globoid Cell"	FET
Niemann-Pick Diseases	FET
"Niemann-Pick Disease, Type A"	FET
"Niemann-Pick Disease, Type B"	FET
"Niemann-Pick Disease, Type C"	FET
Sea-Blue Histiocyte Syndrome	FET
Sulfatidosis	FET
"Leukodystrophy, Metachromatic"	FET
Multiple Sulfatase Deficiency Disease	FET
Mannosidase Deficiency Diseases	FET
alpha-Mannosidosis	FET
beta-Mannosidosis	FET
Mucopolysaccharidoses	FET
Mucopolysaccharidosis I	FET
Mucopolysaccharidosis II	FET
Mucopolysaccharidosis III	FET
Mucopolysaccharidosis IV	FET
Mucopolysaccharidosis VI	FET
Mucopolysaccharidosis VII	FET
Pycnodysostosis	FET
"Metal Metabolism, Inborn Errors"	FET
Hemochromatosis	FET
Hepatolenticular Degeneration	FET
Hypophosphatasia	FET
"Hypophosphatemia, Familial"	FET
Familial Hypophosphatemic Rickets	FET
Menkes Kinky Hair Syndrome	FET
"Paralyses, Familial Periodic"	FET
Hypokalemic Periodic Paralysis	FET
"Paralysis, Hyperkalemic Periodic"	FET
Pseudohypoparathyroidism	FET
Pseudopseudohypoparathyroidism	FET
Peroxisomal Disorders	FET
Acatalasia	FET
Adrenoleukodystrophy	FET
"Chondrodysplasia Punctata, Rhizomelic"	FET
Mevalonate Kinase Deficiency	FET
Refsum Disease	FET
"Refsum Disease, Infantile"	FET
Zellweger Syndrome	FET
Progeria	FET
"Purine-Pyrimidine Metabolism, Inborn Errors"	FET
Dihydropyrimidine Dehydrogenase Deficiency	FET
Gout	FET
"Arthritis, Gouty"	FET
Lesch-Nyhan Syndrome	FET
"Renal Tubular Transport, Inborn Errors"	FET
"Steroid Metabolism, Inborn Errors"	FET
"Adrenal Hyperplasia, Congenital"	FET
Antley-Bixler Syndrome Phenotype	FET
"Ichthyosis, X-Linked"	FET
"Mineralocorticoid Excess Syndrome, Apparent"	FET
Smith-Lemli-Opitz Syndrome	FET
Muscular Dystrophies	FET
Distal Myopathies	FET
Glycogen Storage Disease Type VII	FET
"Muscular Dystrophies, Limb-Girdle"	FET
Sarcoglycanopathies	FET
"Muscular Dystrophy, Duchenne"	FET
"Muscular Dystrophy, Emery-Dreifuss"	FET
Autosomal Emery-Dreifuss Muscular Dystrophy	FET
X-Linked Emery-Dreifuss Muscular Dystrophy	FET
"Muscular Dystrophy, Facioscapulohumeral"	FET
"Muscular Dystrophy, Oculopharyngeal"	FET
Myotonic Dystrophy	FET
Walker-Warburg Syndrome	FET
"Myasthenic Syndromes, Congenital"	FET
Nail-Patella Syndrome	FET
"Neoplastic Syndromes, Hereditary"	FET
Adenomatous Polyposis Coli	FET
Gardner Syndrome	FET
Basal Cell Nevus Syndrome	FET
Birt-Hogg-Dube Syndrome	FET
"Colorectal Neoplasms, Hereditary Nonpolyposis"	FET
Lynch Syndrome II	FET
Muir-Torre Syndrome	FET
Dysplastic Nevus Syndrome	FET
"Exostoses, Multiple Hereditary"	FET
"Hamartoma Syndrome, Multiple"	FET
Hereditary Breast and Ovarian Cancer Syndrome	FET
Li-Fraumeni Syndrome	FET
Multiple Endocrine Neoplasia	FET
Multiple Endocrine Neoplasia Type 1	FET
Multiple Endocrine Neoplasia Type 2a	FET
Multiple Endocrine Neoplasia Type 2b	FET
Neurofibromatoses	FET
Neurofibromatosis 1	FET
Neurofibromatosis 2	FET
Peutz-Jeghers Syndrome	FET
Tuberous Sclerosis	FET
Wilms Tumor	FET
Denys-Drash Syndrome	FET
WAGR Syndrome	FET
Oculocerebrorenal Syndrome	FET
Orofaciodigital Syndromes	FET
"Osteoarthropathy, Primary Hypertrophic"	FET
Osteochondrodysplasias	FET
Osteogenesis Imperfecta	FET
"Pain Insensitivity, Congenital"	FET
Pelger-Huet Anomaly	FET
Primary Immunodeficiency Diseases	FET
Ataxia Telangiectasia	FET
Bloom Syndrome	FET
Chediak-Higashi Syndrome	FET
Hereditary Complement Deficiency Diseases	FET
"Angioedemas, Hereditary"	FET
Hyper-IgM Immunodeficiency Syndrome	FET
"Hyper-IgM Immunodeficiency Syndrome, Type 1"	FET
Job Syndrome	FET
Leukocyte-Adhesion Deficiency Syndrome	FET
Severe Combined Immunodeficiency	FET
X-Linked Combined Immunodeficiency Diseases	FET
Wiskott-Aldrich Syndrome	FET
Pycnodysostosis	FET
"Renal Tubular Transport, Inborn Errors"	FET
"Acidosis, Renal Tubular"	FET
Dent Disease	FET
Fanconi Syndrome	FET
Gitelman Syndrome	FET
"Glycosuria, Renal"	FET
"Hypophosphatemia, Familial"	FET
Familial Hypophosphatemic Rickets	FET
Liddle Syndrome	FET
Oculocerebrorenal Syndrome	FET
Pseudohypoaldosteronism	FET
Renal Aminoacidurias	FET
Cystinuria	FET
Hartnup Disease	FET
"Skin Diseases, Genetic"	FET
Albinism	FET
"Albinism, Ocular"	FET
"Albinism, Oculocutaneous"	FET
Hermanski-Pudlak Syndrome	FET
Piebaldism	FET
Cutis Laxa	FET
Darier Disease	FET
"Dermatitis, Atopic"	FET
Dyskeratosis Congenita	FET
Ectodermal Dysplasia	FET
"Ectodermal Dysplasia 1, Anhidrotic"	FET
"Ectodermal Dysplasia 3, Anhidrotic"	FET
"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive"	FET
Ellis-Van Creveld Syndrome	FET
Focal Dermal Hypoplasia	FET
Focal Facial Dermal Dysplasias	FET
Neurocutaneous Syndromes	FET
Pachyonychia Congenita	FET
Steatocystoma Multiplex	FET
Ehlers-Danlos Syndrome	FET
"Ehlers-Danlos Syndrome, Type IV"	FET
Epidermolysis Bullosa	FET
Epidermolysis Bullosa Dystrophica	FET
"Epidermolysis Bullosa, Junctional"	FET
Epidermolysis Bullosa Simplex	FET
Erythrokeratodermia Variabilis	FET
Hyaline Fibromatosis Syndrome	FET
"Ichthyosiform Erythroderma, Congenital"	FET
"Hyperkeratosis, Epidermolytic"	FET
"Ichthyosis, Lamellar"	FET
Ichthyosis Bullosa of Siemens	FET
Ichthyosis Vulgaris	FET
"Ichthyosis, X-Linked"	FET
Incontinentia Pigmenti	FET
"Keratoderma, Palmoplantar"	FET
"Keratoderma, Palmoplantar, Diffuse"	FET
"Keratoderma, Palmoplantar, Epidermolytic"	FET
Papillon-Lefevre Disease	FET
"Leukokeratosis, Hereditary Mucosal"	FET
